TEST CASEID,REC NO,TRAINNo,JRNY DATE(MM-DD-YYYY),SOURCE STN CODE,DESTN STN CODE,CLS CODE,QUOTA CODE,PSGN COUNT,BRDG_STNCODE,RESVN_UPTO_STNCODE,INPUT TKT TYPE,INPUT FARE DTLS(Total Fare),OUTPUT FARE DTLS(Total Fare),EXECUTION STATUS,PNR in NxtGen,PSGN CONC DTLS
TC_203247,203247,59547 - OKHA PASSENGER,04/07/2020,RJT - RAJKOT JN,DWK - DWARKA,SLEEPER - SL,GENERAL - GN,1,RJT,DWK,S,115.00,115,BOOKED OK,PNR No: 8230995609,1%%#,
TC_109401,109401,13104 - BHAGIRATHI EXP,07/07/2020,BPC - BERHAMPORE CRT,RHA - RANAGHAT JN,SECOND SITTING - 2S,GENERAL - GN,1,BPC,RHA,S,70.00,70,BOOKED OK,PNR No: 6641074616,1%%#,
TC_109402,109402,13104 - BHAGIRATHI EXP,07/07/2020,BPC - BERHAMPORE CRT,SDAH - SEALDAH,SECOND SITTING - 2S,GENERAL - GN,1,BPC,SDAH,S,90.00,90,BOOKED OK,PNR No: 6141074597,1%%#,
TC_109403,109403,13104 - BHAGIRATHI EXP,07/07/2020,BPC - BERHAMPORE CRT,SDAH - SEALDAH,SECOND SITTING - 2S,GENERAL - GN,1,BPC,SDAH,S,90.00,90,BOOKED OK,PNR No: 6641074617,1%%#,
TC_109487,109487,13106 - BUI SDAH EXP,05/07/2020,SPP - SHAHPUR PATOREE,SDAH - SEALDAH,THIRD AC - 3A,GENERAL - GN,4,SPP,SDAH,E,3380.00,3380,BOOKED OK,PNR No: 2109696874,1%%#2%%#3%%#4%%#,
TC_203181,203181,59208 - BHAVNAGAR PASS,08/07/2020,RJT - RAJKOT JN,BVC - BHAVNAGAR TRMUS,SLEEPER - SL,GENERAL - GN,1,RJT,BVC,S,135.00,135,BOOKED OK,PNR No: 8730995629,1%%#,
TC_203182,203182,59230 - BVC ST LINK EXP,01/07/2020,BVC - BHAVNAGAR TRMUS,ST - SURAT,SLEEPER - SL,GENERAL - GN,1,BVC,ST,S,345.00,345,BOOKED OK,PNR No: 8330995644,1%%#,
TC_203183,203183,59307 - INDB AII LINK E,01/07/2020,INDB - INDORE JN BG,JP - JAIPUR,THIRD AC - 3A,GENERAL - GN,6,INDB,JP,S,6120.00,6120,BOOKED OK,PNR No: 8804332670,1%%#2%%#3%%#4%%#5%%#6%%#,
TC_203184,203184,59307 - INDB AII LINK E,01/07/2020,INDB - INDORE JN BG,JP - JAIPUR,THIRD AC - 3A,GENERAL - GN,5,INDB,JP,S,5100.00,5100,BOOKED OK,PNR No: 8530995659,1%%#2%%#3%%#4%%#5%%#,
TC_203185,203185,59307 - INDB AII LINK E,01/07/2020,INDB - INDORE JN BG,JP - JAIPUR,THIRD AC - 3A,GENERAL - GN,6,INDB,JP,S,6120.00,6120,BOOKED OK,PNR No: 8230995610,1%%#2%%#3%%#4%%#5%%#6%%#,
TC_203186,203186,59307 - INDB AII LINK E,02/07/2020,INDB - INDORE JN BG,AII - AJMER JN,SLEEPER - SL,GENERAL - GN,1,INDB,AII,E,325.00,325,BOOKED OK,PNR No: 8730995630,1%%#,
TC_203187,203187,59307 - INDB AII LINK E,02/07/2020,INDB - INDORE JN BG,JP - JAIPUR,THIRD AC - 3A,GENERAL - GN,3,INDB,JP,E,3060.00,3060,BOOKED OK,PNR No: 8430995625,1%%#2%%#3%%#,
TC_203188,203188,59307 - INDB AII LINK E,03/07/2020,INDB - INDORE JN BG,AII - AJMER JN,THIRD AC - 3A,GENERAL - GN,2,INDB,AII,S,1770.00,1770,BOOKED OK,PNR No: 8804332671,1%%#2%%#,
TC_166579,166579,17487 - TIRUMALA EXP,19/07/2020,GDR - GUDUR JN,BVL - BIKKAVOLU,SLEEPER - SL,GENERAL - GN,4,GDR,BVL,S,1140.00,1140,BOOKED OK,PNR No: 4516100215,1%%#2%%#3%%#4%%#,
TC_166580,166580,19116 - BHUJ DDR EXP,05/07/2020,BHUJ - BHUJ,DDR - DADAR,SLEEPER - SL,LADIES - LD,5,BHUJ,DDR,S,2175.00,2175,BOOKED OK,PNR No: 8530995660,1%%#2%%#3%%#4%%#5%%#,
TC_166581,166581,19116 - BHUJ DDR EXP,05/07/2020,BHUJ - BHUJ,DDR - DADAR,SLEEPER - SL,LADIES - LD,1,BHUJ,DDR,E,435.00,435,BOOKED OK,PNR No: 8230995611,1%%#,
TC_202760,202760,58011 - HWH CKP PAS,04/07/2020,HWH - HOWRAH JN,PRR - PURULIA JN,SLEEPER - SL,GENERAL - GN,4,HWH,PRR,S,580.00,580,BOOKED OK,PNR No: 6141074598,1%%#2%%#3%%#4%%#,
